['berserah', 'anjuran', 1]
['berserah', 'larangan', 1]
['berserah', 'informasi', 1]
['berseri-seri', 'anjuran', 1]
['berseri-seri', 'larangan', 0]
['berseri-seri', 'informasi', 1]
['berseru', 'anjuran', 1]
['berseru', 'larangan', 0]
['berseru', 'informasi', 1]
['bersetubuh', 'anjuran', 1]
['bersetubuh', 'larangan', 0]
['bersetubuh', 'informasi', 1]
['bersihkan', 'anjuran', 2]
['bersihkan', 'larangan', 0]
['bersihkan', 'informasi', 2]
['bersihkanlah', 'anjuran', 4]
['bersihkanlah', 'larangan', 3]
['bersihkanlah', 'informasi', 4]
['bersimpuh', 'anjuran', 0]
['bersimpuh', 'larangan', 1]
['bersimpuh', 'informasi', 1]
['bersiwak', 'anjuran', 1]
['bersiwak', 'larangan', 0]
['bersiwak', 'informasi', 0]
['bersolek', 'anjuran', 0]
['bersolek', 'larangan', 1]
['bersolek', 'informasi', 1]
['bersuci', 'anjuran', 1]
['bersuci', 'larangan', 0]
['bersuci', 'informasi', 1]
['bersucilah', 'anjuran', 1]
['bersucilah', 'larangan', 0]
['bersucilah', 'informasi', 1]
['bersucinya', 'anjuran', 1]
['bersucinya', 'larangan', 0]
['bersucinya', 'informasi', 1]
['bersumpah', 'anjuran', 1]
['bersumpah', 'larangan', 0]
['bersumpah', 'informasi', 1]
['bertahallul', 'anjuran', 1]
['bertahallul', 'larangan', 1]
['bertahallul', 'informasi', 1]
['bertahmid', 'anjuran', 1]
['bertahmid', 'larangan', 0]
['bertahmid', 'informasi', 1]
['bertakbir', 'anjuran', 4]
['bertakbir', 'larangan', 0]
['bertakbir', 'informasi', 4]
['bertakbirlah', 'anjuran', 4]
['bertakbirlah', 'larangan', 0]
['bertakbirlah', 'informasi', 4]
['bertalbiah', 'anjuran', 1]
['bertalbiah', 'larangan', 1]
['bertalbiah', 'informasi', 1]
['bertambah', 'anjuran', 1]
['bertambah', 'larangan', 0]
['bertambah', 'informasi', 1]
['bertanyalah', 'anjuran', 1]
['bertanyalah', 'larangan', 0]
['bertanyalah', 'informasi', 1]
['bertasbih', 'anjuran', 1]
['bertasbih', 'larangan', 0]
['bertasbih', 'informasi', 1]
['bertasbihlah', 'anjuran', 2]
['bertasbihlah', 'larangan', 1]
['bertasbihlah', 'informasi', 2]
['bertayamum', 'anjuran', 1]
['bertayamum', 'larangan', 0]
['bertayamum', 'informasi', 1]
['bertemu', 'anjuran', 1]
['bertemu', 'larangan', 0]
['bertemu', 'informasi', 1]
['berumrah', 'anjuran', 1]
['berumrah', 'larangan', 1]
['berumrah', 'informasi', 1]
['berumur', 'anjuran', 1]
['berumur', 'larangan', 0]
['berumur', 'informasi', 1]
['berusia', 'anjuran', 0]
['berusia', 'larangan', 1]
['berusia', 'informasi', 1]
['berwarna', 'anjuran', 0]
['berwarna', 'larangan', 1]
['berwarna', 'informasi', 1]
['berwibawa', 'anjuran', 1]
['berwibawa', 'larangan', 1]
['berwibawa', 'informasi', 1]
['berwudlu', 'anjuran', 5]
['berwudlu', 'larangan', 0]
['berwudlu', 'informasi', 5]
['berwudlulah', 'anjuran', 2]
['berwudlulah', 'larangan', 1]
['berwudlulah', 'informasi', 2]
['berzina', 'anjuran', 2]
['berzina', 'larangan', 1]
['berzina', 'informasi', 1]
['betapa', 'anjuran', 1]
['betapa', 'larangan', 0]
['betapa', 'informasi', 1]
['biarkanlah', 'anjuran', 2]
['biarkanlah', 'larangan', 0]
